intake_year,intake_month,intake_month_name,Animal Type,Intake Type,count
2022,3,March,Cat,Abandoned,15
2022,3,March,Cat,Owner Surrender,101
2022,3,March,Cat,Public Assist,1
2022,3,March,Cat,Stray,179
2022,3,March,Dog,Abandoned,20
2022,3,March,Dog,Owner Surrender,238
2022,3,March,Dog,Public Assist,77
2022,3,March,Dog,Stray,415
2022,4,April,Cat,Abandoned,10
2022,4,April,Cat,Owner Surrender,90
2022,4,April,Cat,Public Assist,13
2022,4,April,Cat,Stray,342
2022,4,April,Dog,Abandoned,22
2022,4,April,Dog,Owner Surrender,194
2022,4,April,Dog,Public Assist,106
2022,4,April,Dog,Stray,435
2022,5,May,Cat,Abandoned,16
2022,5,May,Cat,Owner Surrender,143
2022,5,May,Cat,Public Assist,16
2022,5,May,Cat,Stray,613
2022,5,May,Dog,Abandoned,22
2022,5,May,Dog,Owner Surrender,185
2022,5,May,Dog,Public Assist,104
2022,5,May,Dog,Stray,457
2022,6,June,Cat,Abandoned,15
2022,6,June,Cat,Owner Surrender,192
2022,6,June,Cat,Public Assist,9
2022,6,June,Cat,Stray,425
2022,6,June,Dog,Abandoned,27
2022,6,June,Dog,Owner Surrender,190
2022,6,June,Dog,Public Assist,69
2022,6,June,Dog,Stray,456
2022,7,July,Cat,Abandoned,9
2022,7,July,Cat,Owner Surrender,123
2022,7,July,Cat,Public Assist,10
2022,7,July,Cat,Stray,354
2022,7,July,Dog,Abandoned,20
2022,7,July,Dog,Owner Surrender,257
2022,7,July,Dog,Public Assist,118
2022,7,July,Dog,Stray,477
2022,8,August,Cat,Abandoned,3
2022,8,August,Cat,Owner Surrender,173
2022,8,August,Cat,Public Assist,8
2022,8,August,Cat,Stray,343
2022,8,August,Dog,Abandoned,22
2022,8,August,Dog,Owner Surrender,222
2022,8,August,Dog,Public Assist,63
2022,8,August,Dog,Stray,501
2022,9,September,Cat,Abandoned,7
2022,9,September,Cat,Owner Surrender,95
2022,9,September,Cat,Public Assist,11
2022,9,September,Cat,Stray,228
2022,9,September,Dog,Abandoned,17
2022,9,September,Dog,Owner Surrender,159
2022,9,September,Dog,Public Assist,31
2022,9,September,Dog,Stray,316
2022,10,October,Cat,Abandoned,8
2022,10,October,Cat,Owner Surrender,70
2022,10,October,Cat,Public Assist,11
2022,10,October,Cat,Stray,277
2022,10,October,Dog,Abandoned,6
2022,10,October,Dog,Owner Surrender,181
2022,10,October,Dog,Public Assist,78
2022,10,October,Dog,Stray,401
2022,11,November,Cat,Abandoned,9
2022,11,November,Cat,Owner Surrender,79
2022,11,November,Cat,Public Assist,18
2022,11,November,Cat,Stray,245
2022,11,November,Dog,Abandoned,42
2022,11,November,Dog,Owner Surrender,193
2022,11,November,Dog,Public Assist,41
2022,11,November,Dog,Stray,316
2022,12,December,Cat,Abandoned,6
2022,12,December,Cat,Owner Surrender,115
2022,12,December,Cat,Public Assist,8
2022,12,December,Cat,Stray,208
2022,12,December,Dog,Abandoned,30
2022,12,December,Dog,Owner Surrender,143
2022,12,December,Dog,Public Assist,55
2022,12,December,Dog,Stray,336
2023,1,January,Cat,Abandoned,4
2023,1,January,Cat,Owner Surrender,135
2023,1,January,Cat,Public Assist,8
2023,1,January,Cat,Stray,215
2023,1,January,Dog,Abandoned,33
2023,1,January,Dog,Owner Surrender,173
2023,1,January,Dog,Public Assist,41
2023,1,January,Dog,Stray,372
2023,2,February,Cat,Abandoned,6
2023,2,February,Cat,Owner Surrender,62
2023,2,February,Cat,Public Assist,9
2023,2,February,Cat,Stray,185
2023,2,February,Dog,Abandoned,41
2023,2,February,Dog,Owner Surrender,160
2023,2,February,Dog,Public Assist,44
2023,2,February,Dog,Stray,353
2023,3,March,Cat,Abandoned,13
2023,3,March,Cat,Owner Surrender,59
2023,3,March,Cat,Public Assist,2
2023,3,March,Cat,Stray,313
2023,3,March,Dog,Abandoned,22
2023,3,March,Dog,Owner Surrender,205
2023,3,March,Dog,Public Assist,68
2023,3,March,Dog,Stray,402
2023,4,April,Cat,Abandoned,13
2023,4,April,Cat,Owner Surrender,105
2023,4,April,Cat,Public Assist,4
2023,4,April,Cat,Stray,447
2023,4,April,Dog,Abandoned,33
2023,4,April,Dog,Owner Surrender,179
2023,4,April,Dog,Public Assist,50
2023,4,April,Dog,Stray,359
2023,5,May,Cat,Abandoned,22
2023,5,May,Cat,Owner Surrender,144
2023,5,May,Cat,Public Assist,7
2023,5,May,Cat,Stray,700
2023,5,May,Dog,Abandoned,30
2023,5,May,Dog,Owner Surrender,216
2023,5,May,Dog,Public Assist,91
2023,5,May,Dog,Stray,328
2023,6,June,Cat,Abandoned,24
2023,6,June,Cat,Owner Surrender,73
2023,6,June,Cat,Public Assist,4
2023,6,June,Cat,Stray,494
2023,6,June,Dog,Abandoned,27
2023,6,June,Dog,Owner Surrender,131
2023,6,June,Dog,Public Assist,63
2023,6,June,Dog,Stray,326
2023,7,July,Cat,Abandoned,23
2023,7,July,Cat,Owner Surrender,72
2023,7,July,Cat,Public Assist,9
2023,7,July,Cat,Stray,403
2023,7,July,Dog,Abandoned,29
2023,7,July,Dog,Owner Surrender,138
2023,7,July,Dog,Public Assist,57
2023,7,July,Dog,Stray,209
2023,8,August,Cat,Abandoned,6
2023,8,August,Cat,Owner Surrender,59
2023,8,August,Cat,Public Assist,7
2023,8,August,Cat,Stray,547
2023,8,August,Dog,Abandoned,21
2023,8,August,Dog,Owner Surrender,118
2023,8,August,Dog,Public Assist,68
2023,8,August,Dog,Stray,234
2023,9,September,Cat,Abandoned,15
2023,9,September,Cat,Owner Surrender,130
2023,9,September,Cat,Public Assist,9
2023,9,September,Cat,Stray,443
2023,9,September,Dog,Abandoned,26
2023,9,September,Dog,Owner Surrender,146
2023,9,September,Dog,Public Assist,41
2023,9,September,Dog,Stray,237
2023,10,October,Cat,Abandoned,17
2023,10,October,Cat,Owner Surrender,66
2023,10,October,Cat,Public Assist,9
2023,10,October,Cat,Stray,469
2023,10,October,Dog,Abandoned,28
2023,10,October,Dog,Owner Surrender,126
2023,10,October,Dog,Public Assist,67
2023,10,October,Dog,Stray,305
2023,11,November,Cat,Abandoned,7
2023,11,November,Cat,Euthanasia Request,1
2023,11,November,Cat,Owner Surrender,56
2023,11,November,Cat,Public Assist,47
2023,11,November,Cat,Stray,263
2023,11,November,Dog,Abandoned,36
2023,11,November,Dog,Owner Surrender,133
2023,11,November,Dog,Public Assist,38
2023,11,November,Dog,Stray,290
2023,12,December,Cat,Abandoned,14
2023,12,December,Cat,Owner Surrender,79
2023,12,December,Cat,Public Assist,4
2023,12,December,Cat,Stray,187
2023,12,December,Dog,Abandoned,25
2023,12,December,Dog,Owner Surrender,139
2023,12,December,Dog,Public Assist,72
2023,12,December,Dog,Stray,273
2024,1,January,Cat,Abandoned,10
2024,1,January,Cat,Owner Surrender,124
2024,1,January,Cat,Public Assist,12
2024,1,January,Cat,Stray,206
2024,1,January,Dog,Abandoned,28
2024,1,January,Dog,Owner Surrender,175
2024,1,January,Dog,Public Assist,55
2024,1,January,Dog,Stray,293
2024,2,February,Cat,Abandoned,9
2024,2,February,Cat,Owner Surrender,74
2024,2,February,Cat,Public Assist,6
2024,2,February,Cat,Stray,287
2024,2,February,Dog,Abandoned,24
2024,2,February,Dog,Owner Surrender,223
2024,2,February,Dog,Public Assist,46
2024,2,February,Dog,Stray,341
2024,3,March,Cat,Abandoned,14
2024,3,March,Cat,Owner Surrender,68
2024,3,March,Cat,Stray,307
2024,3,March,Dog,Abandoned,26
2024,3,March,Dog,Owner Surrender,173
2024,3,March,Dog,Public Assist,66
2024,3,March,Dog,Stray,389
2024,4,April,Cat,Abandoned,13
2024,4,April,Cat,Owner Surrender,108
2024,4,April,Cat,Public Assist,6
2024,4,April,Cat,Stray,538
2024,4,April,Dog,Abandoned,25
2024,4,April,Dog,Owner Surrender,159
2024,4,April,Dog,Public Assist,53
2024,4,April,Dog,Stray,415
2024,5,May,Cat,Abandoned,33
2024,5,May,Cat,Owner Surrender,106
2024,5,May,Cat,Public Assist,5
2024,5,May,Cat,Stray,793
2024,5,May,Dog,Abandoned,18
2024,5,May,Dog,Owner Surrender,179
2024,5,May,Dog,Public Assist,66
2024,5,May,Dog,Stray,382
2024,6,June,Cat,Abandoned,16
2024,6,June,Cat,Owner Surrender,78
2024,6,June,Cat,Public Assist,3
2024,6,June,Cat,Stray,529
2024,6,June,Dog,Abandoned,42
2024,6,June,Dog,Owner Surrender,144
2024,6,June,Dog,Public Assist,61
2024,6,June,Dog,Stray,315
2024,7,July,Cat,Abandoned,17
2024,7,July,Cat,Owner Surrender,72
2024,7,July,Cat,Public Assist,8
2024,7,July,Cat,Stray,439
2024,7,July,Dog,Abandoned,36
2024,7,July,Dog,Owner Surrender,161
2024,7,July,Dog,Public Assist,67
2024,7,July,Dog,Stray,230
2024,8,August,Cat,Abandoned,5
2024,8,August,Cat,Owner Surrender,114
2024,8,August,Cat,Public Assist,4
2024,8,August,Cat,Stray,413
2024,8,August,Dog,Abandoned,24
2024,8,August,Dog,Owner Surrender,101
2024,8,August,Dog,Public Assist,74
2024,8,August,Dog,Stray,256
2024,9,September,Cat,Abandoned,10
2024,9,September,Cat,Owner Surrender,90
2024,9,September,Cat,Public Assist,21
2024,9,September,Cat,Stray,481
2024,9,September,Dog,Abandoned,24
2024,9,September,Dog,Owner Surrender,128
2024,9,September,Dog,Public Assist,85
2024,9,September,Dog,Stray,269
2024,10,October,Cat,Abandoned,2
2024,10,October,Cat,Owner Surrender,82
2024,10,October,Cat,Public Assist,25
2024,10,October,Cat,Stray,511
2024,10,October,Dog,Abandoned,23
2024,10,October,Dog,Owner Surrender,117
2024,10,October,Dog,Public Assist,93
2024,10,October,Dog,Stray,292
2024,11,November,Cat,Abandoned,6
2024,11,November,Cat,Owner Surrender,87
2024,11,November,Cat,Public Assist,2
2024,11,November,Cat,Stray,328
2024,11,November,Dog,Abandoned,18
2024,11,November,Dog,Owner Surrender,105
2024,11,November,Dog,Public Assist,50
2024,11,November,Dog,Stray,240
2024,12,December,Cat,Abandoned,11
2024,12,December,Cat,Owner Surrender,70
2024,12,December,Cat,Public Assist,12
2024,12,December,Cat,Stray,294
2024,12,December,Dog,Abandoned,17
2024,12,December,Dog,Owner Surrender,141
2024,12,December,Dog,Public Assist,65
2024,12,December,Dog,Stray,307
2025,1,January,Cat,Abandoned,4
2025,1,January,Cat,Owner Surrender,103
2025,1,January,Cat,Public Assist,6
2025,1,January,Cat,Stray,261
2025,1,January,Dog,Abandoned,18
2025,1,January,Dog,Owner Surrender,123
2025,1,January,Dog,Public Assist,75
2025,1,January,Dog,Stray,355
2025,2,February,Cat,Abandoned,17
2025,2,February,Cat,Owner Surrender,68
2025,2,February,Cat,Public Assist,3
2025,2,February,Cat,Stray,266
2025,2,February,Dog,Abandoned,25
2025,2,February,Dog,Owner Surrender,164
2025,2,February,Dog,Public Assist,78
2025,2,February,Dog,Stray,303
2025,3,March,Cat,Abandoned,9
2025,3,March,Cat,Owner Surrender,105
2025,3,March,Cat,Public Assist,1
2025,3,March,Cat,Stray,326
2025,3,March,Dog,Abandoned,9
2025,3,March,Dog,Owner Surrender,152
2025,3,March,Dog,Public Assist,81
2025,3,March,Dog,Stray,290
2025,4,April,Cat,Owner Surrender,93
2025,4,April,Cat,Public Assist,10
2025,4,April,Cat,Stray,441
2025,4,April,Dog,Abandoned,31
2025,4,April,Dog,Owner Surrender,98
2025,4,April,Dog,Public Assist,61
2025,4,April,Dog,Stray,239
2025,5,May,Cat,Abandoned,1
2025,5,May,Cat,Owner Surrender,10
2025,5,May,Cat,Stray,56
2025,5,May,Dog,Abandoned,3
2025,5,May,Dog,Owner Surrender,21
2025,5,May,Dog,Public Assist,7
2025,5,May,Dog,Stray,28
